NiceForNow Configuration,Tất Cả
You activated the rule(s).,Bạn đã kích hoạt các quy tắc.
We can't delete rule(s) right now. Please review the log and try again.,Không thể xóa (các) quy tắc ngay bây giờ. Hãy xem lại nhật ký và thử lại.
We can't find a rule(s) to delete.,Không tồn tại (các) quy tắc để xóa.
"Product with specified SKU ""%1"" not found.","Không tìm thấy sản phẩm có mã sản phẩm ""%1"" được chỉ định."
You saved the notification options.,Bạn đã lưu các tùy chọn thông báo.
You Canceled Reward,Bạn đã hủy phần thưởng
We cannot Reward.,Không thể thưởng
Order Completed,Đơn hàng đã hoàn thành
For every $X spent,Với mỗi $ X đã chi
Inactive for a long time,Không hoạt động trong một thời gian dài
Review written,Viết nhận xét
Admin Point Change,Thay đổi điểm quản trị
 points,ĐIểm
"Points ""%1"" not valid.","Điểm""%1"" không có giá trị."
You need at least %1 points to pay for the order with reward points.,Bạn cần ít nhất %1 điểm để thanh toán cho đơn hàng có điểm thưởng.
Too much point(s) used.,Quá nhiều điểm đã được sử dụng.
You used %1 point(s).,Bạn đã sử dụng %1 điểm
Number of redeemed reward points cannot exceed %1 for this order.,Số điểm thưởng được đổi không thể vượt quá %1 cho đơn hàng này.
Number of redeemed reward points cannot exceed %1 % of cart subtotal excluding tax for this order.,Số điểm thưởng được quy đổi không thể vượt quá %1 % tổng giá trị của giỏ hàng không bao gồm thuế cho đơn hàng này.
Invalid page argument value.,Giá trị đối số trang không hợp lệ.
Unable to save expiration with ID %1. Error: %2,Không thể lưu expiration Id %1. Lỗi: %2
Unable to save new expiration. Error: %1,Không thế lưu expiration mới. Lỗi: %1
"Expiration with specified ID ""%1"" not found.","expiration Id được chỉ định ""%1"" không tìm thấy."
Customer with specified ID not found.,Khách hàng Id được chỉ định không tìm thấy.
Unable to remove expiration with ID %1. Error: %2,Không thể xóa expiration Id %1. Lỗi : %2
Unable to remove expiration. Error: %1,Không thể loại bỏ expiration. Lỗi: %1
Unable to save history with ID %1. Error: %2,Không thể lưu lịch sử Id %1. Error: %2
Unable to save new history. Error: %1,Không thể lưu lịch sử mới. Lỗi: %1
"History with specified ID ""%1"" not found.","Không tìm thấy lịch sử Id được chỉ định ""%1"""
Unable to remove history with ID %1. Error: %2,Không thể xóa lịch sử Id %1. Lỗi: %2
Unable to remove history. Error: %1,Không thể xóa lịch sử. Lỗi : %1
Unable to save rewards with ID %1. Error: %2,Không thể lưu phần thưởng Id %1. Lỗi: %2
Unable to save new rewards. Error: %1,Không thể lưu phần thưởng mới. Lỗi: %1
"Rewards with specified ID ""%1"" not found.","Phần thưởng Id ""%1"" không tìm thấy."
Unable to remove rewards with ID %1. Error: %2,Không thể xóa phần thưởng ID %1. Lỗi: %2
Unable to remove rewards. Error: %1,Không thể xóa được phần thưởng. Lỗi: %1
You are trying to deduct negative or null amount of rewards point(s).,Bạn đang trừ (các) điểm thưởng âm hoặc không có giá trị.
You are trying to add negative or null amount of rewards point(s).,Bạn đang thêm (các) điểm thưởng âm hoặc không có giá trị.
Reward points balance mismatch: please contact store administrator.,Điểm thưởng cân bằng không phù hợp: vui lòng liên hệ với quản trị viên cửa hàng.
Order paid.,Đặt hàng thanh toán
Rewards expired by date.,Phần thưởng hết hạn theo ngày.
The action is not determined.,Hành động không được xác định.
Used %1 reward points,Đã sử dụng %1 điểm thưởng
Order #%1 Canceled,Đơn hàng #%1 đã hủy
Refund #%1 for Order #%2,Hoàn tiền #%1 cho đơn hàng #%2
%1 points,%1 điểm
Rewarded Points,Các điểm đã thưởng
Redeemed Points,Các điểm đã quy đổi
Apply Rewards Points for Order,Áp dụng Điểm thưởng cho đơn hàng
Current Customer Balance: %1 reward points.,Số dư khách hàng hiện tại: %1 điểm thưởng.
Reward Points to Base Currency Rate: %1 points = 1.,Điểm thưởng theo tỷ lệ tiền tệ cơ sở: %1 điểm = 1
Applied Reward Points: %1,Đã áp dụng điểm thưởng : %1
Apply Rewards,Áp dụng phần thưởng
You Have <strong>%1</strong> points left,Bạn có <strong>%1</strong> điểm còn lại
%3 for every %1%2,%3 Cho mọi %1%2
Note: You need at least %1 points to pay for the order with reward points.,Lưu ý: Bạn cần ít nhất %1 điểm để thanh toán cho đơn hàng có điểm thưởng.
Enter reward amount,Nhập số tiền thưởng
Cancel Reward,Hủy điểm thưởng
Save Notification Options,Lưu tùy chọn thông báo
Days Left,Các ngày còn lại
You have no rewards.,Bạn không có điểm thưởng
The rule has been duplicated.,Quy tắc đã được tạo bản sao.
We can't duplicate the rule right now. Please review the log and try again.,Không thể tạo bản sao các quy tắc ngay bây giờ. Hãy xem lại nhật ký và thử lại.
We can't find a rule to duplicate.,Không tồn tại quy tắc để tạo bản sao.
Something went wrong while updating the rule(s) priority.,Phát sinh vấn đề khi cập nhật (các) quy tắc ưu tiên
We can't find a rule to update its priority.,Không tồn tại quy tắc để cập nhật ưu tiên của nó.
Something went wrong while updating the rule(s) status.,Phát sinh vấn đề khi cập nhật trạng thái quy tắc.
We can't find a rule to update its status.,Không tồn tại quy tắc để cập nhật trạng thái của nó.
Auto add promo items with products,Tự động thêm các sản phẩm khuyến mãi với các sản phẩm
Auto add promo items for the whole cart,Tự động thêm các sản phẩm khuyến mãi cho toàn bộ giỏ hàng
Auto add the same product,Tự động thêm một sản phẩm tương tự
Auto add promo items for every $X spent,Tự động thêm các mục quảng cáo cho mỗi $ X đã chi
Return Requests,Yêu cầu trả lại
Return Request successfully closed.,Yêu cầu trả lại đã đóng thành công.
My Returns Requests,Yêu cầu trả hàng
Order is not set,Đơn hàng chưa được đặt
Wrong Order,Đặt hàng sai
Items were not selected,Các mục không được chọn
New Return for Order #%1,Hoàn trả mới cho đơn hàng #%1
You didn't agree to Privacy policy,Bạn đã không đồng ý với chính sách quyền riêng tư
Request Id is not set,Id yêu cầu chưa được đặt
Request not longer exists,Yêu cầu không còn tồn tại
Files %1 have exceeded the maximum file size limit of %2 KB.,Các tệp %1 đã vượt quá giới hạn kích thước tệp tối đa là %2 KB.
Can't delete condition right now. Please review the log and try again.,Không thể xóa điều kiện ngay bây giờ. Hãy xem lại nhật ký và thử lại.
Can't find a condition to delete.,Không tìm thấy điều kiện để xóa.
Error occurred while deleting condition with ID %1. Error: %2,Phát sinh vấn đề khi xóa điều kiện Id %1. Lỗi: %2
%1 condition(s) has been failed to delete, %1 điều kiện đã không thể xóa
Can't delete reason right now. Please review the log and try again.,Không thể xóa lý do ngay bây giờ. Hãy xem lại nhật ký và thử lại.
Can't find a reason to delete.,Không tìm thấy một lý do để xóa.
This reason no longer exists.,Lý do này không còn tồn tại.
Error occurred while deleting reason with ID %1. Error: %2,Phát sinh vấn đề khi xóa lý do Id %1. Lỗi: %2
%1 reason(s) has been failed to delete, %1 lý do đã không thể xóa
You saved the return request.,Bạn đã lưu yêu cầu trả lại.
The return request has been moved to %1 grid.,Yêu cầu trả lại đã được chuyển sang lưới %1.
Wrong Request Qty,Yêu cầu sai Số lượng
View Return Request,Xem yêu cầu trả lại
This request is no longer exists.,Yêu cầu này không còn tồn tại.
Can't delete resolution right now. Please review the log and try again.,Không thể xóa độ phân giải ngay bây giờ. Hãy xem lại nhật ký và thử lại.
Can't find a resolution to delete.,Không tìm thấy độ phân giải để xóa.
This resolution no longer exists.,Độ phân giải này không tồn tại
Error occurred while deleting resolution with ID %1. Error: %2,Phát sinh vấn đề khi xóa độ phân giải Id %1. Lỗi: %2
%1 resolution(s) has been failed to delete,Độ phân giải %1 đã không thể xóa
Can't delete rule right now. Please review the log and try again.,Không thể xóa quy tắc ngay bây giờ. Hãy xem lại nhật ký và thử lại.
Can't find a rule to delete.,Không tìm thấy một quy tắc để xóa.
Error occurred while deleting rule with ID %1. Error: %2,Phát sinh vấn đề khi xóa quy tắc Id %1. Lỗi: %2
%1 rule(s) has been failed to delete,Quy tắc %1 đã không thể xóa
Can't delete status right now. Please review the log and try again.,Không thể xóa trạng thái ngay bây giờ. Hãy xem lại nhật ký và thử lại.
Can't find a status to delete.,Không tìm thấy trạng thái để xóa.
This status no longer exists.,Trạng thái này không còn tồn tại.
You don't have `Initial Status`. Please Create/Enable It.,Bạn không có 'Trạng thái ban đầu'. Vui lòng tạo / kích hoạt nó.
State `%1` has no active statuses.,Trạng thái ` %1` không có trạng thái hoạt động.
Customer couldn't Cancel RMA because there is no active status in state `Cancel` with automatically set status on event `Customer Canceled RMA`. Please Create/Enable it.,Khách hàng không thể Hủy RMA vì không có trạng thái hoạt động ở trạng thái `Hủy 'với trạng thái tự động đặt trong sự kiện` Khách hàng đã hủy RMA`. Vui lòng tạo / kích hoạt nó.
Error occurred while deleting status with ID %1. Error: %2,Phát sinh vấn đề khi xóa trạng thái Id %1. Lỗi: %2
%1 status(es) has been failed to delete, %1 trạng thái đã không thể xóa
RMA Login,RMA Đăng nhập
Order not found,Không tìm thấy đơn đặt hàng
Request is not set,Yêu cầu không được đặt
"Message with specified ID ""%1"" not found.","Không tìm thấy thông báo có ID được chỉ định ""%1""."
Unable to remove message with ID %1. Error: %2,Không thể xóa tin nhắn Id %1. Lỗi: %2
Unable to remove rule. Error: %1,Không thể xóa quy tắc. Lỗi: %1
Unable to save new reason. Error: %1,Không thể lưu lý do mới. Lỗi: %1
"Condition with specified ID ""%1"" not found.","Không tìm thấy điều kiện Id được chỉ định ""%1""."
Unable to save condition with ID %1. Error: %2,Không thể lưu điều kiện Id %1. Lỗi: %2
Unable to save new condition. Error: %1,Không thể lưu điều kiện mới. Lỗi: %1
Unable to remove condition with ID %1. Error: %2,Không thể xóa điều kiện Id %1. Lỗi: %2
Received,Đã nhận
Resolved,Đã giải quyết
"Reason with specified ID ""%1"" not found.","Lý do ID được chỉ định ""%1"" không tìm thấy."
Unable to save reason with ID %1. Error: %2,Không thể lưu lý do ID %1. Lỗi: %2
Unable to remove reason with ID %1. Error: %2,lý do không thể xóa ID %1. Lỗi: %2
Unable to remove reason. Error: %1,Không thể loại bỏ lý do. Lỗi: %1
Wrong Order.,Đặt hàng sai
Wrong Customer Id,ID khách hàng sai
Request doesn't exsists,Yêu cầu không tồn tại
Shipped QTY,Số lượng đã vận chuyển
Refunded QTY,Số lượng đã hoàn tiền
RMA Details,Chi tiết RMA
"Resolution with specified ID ""%1"" not found.","Không tìm thấy độ phân giải Id được chỉ định ""%1""."
Unable to save resolution with ID %1. Error: %2,Không thể lưu độ phân giải Id %1. Lỗi: %2
Unable to save new resolution. Error: %1,Không thể lưu độ phân giải mới. Lỗi: %1
Unable to remove resolution with ID %1. Error: %2,Không thể xóa độ phân giải Id %1. Lỗi: %2
Unable to remove resolution. Error: %1,Không thể xóa độ phân giải. Lỗi: %1
Admin Email Custom Text,Quản trị email tùy chỉnh văn bản
"Status with specified ID ""%1"" not found.","Không tìm thấy trạng thái Id được chỉ định ""%1""."
There is no initial status.,Không có trạng thái ban đầu.
Initial status can't be disabled.,Trạng thái ban đầu không thể bị vô hiệu hóa.
"Can't disable status because it is the only status of state ""%1"".","Không thể vô hiệu hóa trạng thái ""%1""."
Unable to save status with ID %1. Error: %2,Không thể lưu trạng thái Id %1. Lỗi: %2
Unable to save new status. Error: %1,Không thể lưu trạng thái mới. Lỗi: %1
Unable to remove status with ID %1. Error: %2,Không thể xóa trạng thái Id %1. Lỗi: %2
Can't delete initial status.,Không thể xóa trạng thái ban đầu.
"Can't delete status because it is the only status of state ""%1"".","Không thể xóa trạng thái vì đó là trạng thái duy nhất của trạng thái ""%1""."
Create Return,Tạo trả lại
You have placed no return request.,Bạn không có yêu cầu trả hàng nào.
Choose Items To Return,Chọn mục để trả lại
This product wasn't shipped.,Sản phẩm này đã không được vận chuyển.
This product is already refunded.,Sản phẩm này đã được hoàn trả.
" If you have questions, please contact the store administrator:","Nếu bạn có thắc mắc, Hãy liên hệ với quản trị viên cửa hàng:"
Rma request for this product is already created. Existing Return(s):,Yêu cầu Rma cho sản phẩm này đã được tạo. Trả lại hiện tại:
This product cannot be returned.,Sản phẩm này không thể được trả lại.
"We are sorry, but the return period has been expired.","Xin lỗi, thời gian trả lại đã hết hạn."
Comment (optional),Nhận xét (tùy chọn)
Please do not forget to take a picture of the goods from all sides. Request without such photos may not be approved,Xin đừng quên chụp ảnh hàng hóa từ mọi phía. Yêu cầu không có hình ảnh sẽ không được chấp thuận
" Please, describe the issue in details.",Hãy mô tả vấn đề chi tiết.
I have read and accept the %1Return Policy%2,Tôi đã đọc và chấp nhận %1chính sách đổi trả%2
You are supposed to cover shipping costs,Khách hàng thanh toán chi phí vận chuyển
Store is supposed to cover shipping costs,Cửa hàng thanh toán chi phí vận chuyển
There are no items to return.,Không có mục để trả lại.
Create new return request,Tạo yêu cầu trả lại mới
Other Order Return,Trả lại đơn hàng khác
Cancel RMA,Hủy yêu cầu
Thank you for your feedback.,Cám ơn phản hồi của bạn.
How do you rate the work of a manager?,Làm thế nào để bạn đánh giá công việc của một người quản lý?
%1 star,%1 sao
You can also leave a comment.,Bạn cũng có thể để lại một bình luận.
Order ID:,ID đơn hàng:
Created At:,Ngày tạo:
Return Instructions,Hướng dẫn trả lại
Items Conditions,Items Conditions
You should pay for Shipping.,Bạn nên trả tiền cho Vận chuyển.
Store pays for Shipping.,Cửa hàng trả tiền cho Vận chuyển.
Extra Fields:,trường thêm:
Add new Shipping Restriction Rule,Thêm quy tắc hạn chế vận chuyển mới
Unable to load Shipping Restriction Rule with ID %1. Please review the log and try again.,Không thể tải Quy tắc hạn chế vận chuyển Id %1. Hãy xem lại nhật ký và thử lại.
Shipping Restrictions,Hạn chế vận chuyển
"Sorry, no shipping quotes are available for the selected products and destination","Xin lỗi, không có báo giá vận chuyển có sẵn cho các sản phẩm và điểm đến đã chọn"
 | Page %1, | Trang %1
Do Not Change,Đừng thay đổi
Just Url Key,Chỉ cần khóa Url
First Attribute Value,Giá trị thuộc tính đầu tiên
Keep current URL,Giữ URL hiện tại
URL Without Filters,URL không có bộ lọc
Brand Filter Only,Chỉ lọc thương hiệu
URL Key Only,Chỉ khóa URL
Single Selection Only,Chỉ có một lựa chọn
SEO URL is always generated for the brand.,URL SEO luôn được tạo cho thương hiệu.
Generate SEO URL,Tạo URL SEO
Allow Google to INDEX the Category Page with the Filter Applied,Cho phép trang dang mục Google INDEX áp dụng với bộ lọc
Allow Google to FOLLOW Links on the Category Page with the Filter Applied,Cho phép Google FOLLOW Liên kết trên Trang Danh mục với Bộ lọc được áp dụng
Enable SEO URL for the attribute in order to use URL Aliases,Kích hoạt URL SEO cho thuộc tính để sử dụng Bí danh URL
Using the same value for option separation and to replace special characters is outdated and may cause issues.,Sử dụng cùng một giá trị để phân tách tùy chọn và thay thế các ký tự đặc biệt đã lỗi thời và có thể gây ra sự cố.
"If there are complex options like:'red-white', there will be a problem with single 'red' and 'white' options.","Nếu có các tùy chọn phức tạp như: 'đỏ-trắng', sẽ có vấn đề với các tùy chọn 'đỏ' và 'trắng'."
In some cases such options will not be parsed by SEO URL router.,"Trong một số trường hợp, các tùy chọn như vậy sẽ không được phân tích cú pháp bởi bộ định tuyến URL SEO."
We strongly recommend not to use the same symbol for option separation and to replace special characters.,Chúng tôi khuyến nghị bạn không nên sử dụng cùng một biểu tượng để phân tách tùy chọn và thay thế các ký tự đặc biệt.
See more cases in the User Guide,Xem thêm trường hợp trong Hướng dẫn sử dụng
Manage Group Attributes,Quản lý thuộc tính nhóm
Save Group,Lưu nhóm
Delete Group,Xóa nhóm
Edit Group '%1',Chỉnh sửa nhóm ' %1'
Group Title,Tiêu đề nhóm
Alias,Bí danh
Display Properties,Thuộc tính hiển thị
Minimum Slider Value,Giá trị slider tối thiểu
"Please specify the min value to limit the slider, e.g. <$10","Vui lòng chỉ định giá trị tối thiểu để giới hạn slider, ví dụ: <$ 10"
Maximum Slider Value,Giá trị slider tối đa
"Please specify the max value to limit the slider, e.g. >$999","Vui lòng chỉ định giá trị tối đa để giới hạn slider, ví dụ: > $ 999"
Unit Label,Nhãn đơn vị
Position Label,Nhãn vị trí
Show in the Block,Hiển thị trong khối
Show Search Box,Hiển thị hộp tìm kiếm
Show the searchbox if the number of options more than,Hiển thị hộp tìm kiếm nếu số lượng tùy chọn nhiều hơn
Customers will be able to search for the filter option in the searchbox. Leave the field empty to hide the searchbox.,Khách hàng sẽ có thể tìm kiếm tùy chọn bộ lọc trong hộp tìm kiếm. Để trống trường để ẩn hộp tìm kiếm.
Number of Unfolded Options,Số lượng tùy chọn chưa được mở
"Other options will be shown after a customer clicks the ""More"" button.","Các tùy chọn khác sẽ được hiển thị sau khi khách hàng nhấp vào nút ""More""."
Tooltip,Chú giải công cụ
Filtering,lọc
When multiselect option is disabled it follows the category page (except the filtering from the search page),"Khi tùy chọn chọn nhiều bị vô hiệu hóa, nó sẽ theo trang danh mục (ngoại trừ việc lọc từ trang tìm kiếm)"
Allow Multiselect,Cho phép nhiều trang
Multiple Values Logic,Logic nhiều giá trị
Show Icon on the Product Page,Hiển thị biểu tượng trên trang sản phẩm
Upload images for your options to show them right after the product title,Tải lên hình ảnh cho các tùy chọn của bạn để hiển thị chúng ngay sau tiêu đề sản phẩm
Visible in Categories,Hiển thị trong danh mục
Show Only when Any Option of Attributes Below is Selected,Chỉ hiển thị khi bất kỳ tùy chọn thuộc tính nào dưới đây được chọn
Show Only if the Following Option is Selected,Chỉ hiển thị nếu Tùy chọn sau được chọn
Comma separated options ids,ID tùy chọn được phân tách bằng dấu phẩy
Render Categories Tree,Render Categories Tree
"Need help with the settings? Please consult the <a href=""%1"">user guide</a> to configure the extension properly.","Cần giúp đỡ với các cài đặt? Vui lòng tham khảo <a href=""%1""> hướng dẫn sử dụng </a> để định cấu hình tiện ích mở rộng đúng cách."
Render All Categories Tree,Render All Categories Tree
Yes (Render Full Categories Tree) or No (For category filter tree customization),Có (Kết xuất cây danh mục đầy đủ) hoặc không (Đối với tùy chỉnh cây bộ lọc danh mục)
Category Tree Depth,Category Tree Depth
Specify the max level number for category tree. Keep 1 to hide the subcategories,Chỉ định số cấp tối đa cho cây danh mục. Giữ 1 để ẩn các danh mục con
Render Categories Level,Hiển thị cấp độ danh mục
Subcategories View,Xem danh mục phụ
Category Tree Display Mode,Chế độ hiển thị cây danh mục
Expand Subcategories,Mở rộng danh mục con
Wrong Filter Type,kiểu lọc sai
above,ở trên
You deleted the group.,Bạn đã xóa nhóm.
We can't find a group to delete.,Không tồn tại một nhóm để xóa.
This group no longer exists.,Nhóm này không còn tồn tại.
Something went wrong while saving the group.,Phát sinh vấn đề khi lưu nhóm.
This group code already exists.,Mã nhóm này đã tồn tại.
You saved the group.,Bạn đã lưu nhóm.
Requested page doesn't exist,Trang được yêu cầu không tồn tại
Requested attribute group doesn't exist,Nhóm thuộc tính được yêu cầu không tồn tại
Something went wrong during rendering of navigation filters. Please try again later.,Đã xảy ra lỗi trong quá trình thông dịch bộ lọc điều hướng. Vui lòng thử lại sau.
"Make sure that ""%1""(id:%2) category for current store is anchored","Đảm bảo rằng ""%1"" (id: %2) danh mục cho cửa hàng hiện tại được anchored"
. '-' .,. '-' .
On Sale,Giảm giá
%1 stars & up, %1 sao trở lên
%1 star & up, %1 sao trở lên
%1 stars, %1 sao
Not Yet Rated,Chưa đánh giá
Before %1,Trước %1
After %1,Sau %1
Replace %1,Thay thế %1
Show Labels Only,Chỉ hiển thị nhãn hiệu
Show Images Only,Chỉ hiện thị ảnh
Show Labels And Images,Hiển thị nhãn hiệu và ảnh
Category Thumbnail Images,ảnh thu nhỏ của category
Category Names Without Images,Tên danh mục không có hình ảnh
Auto (based on custom theme),Tự động (dựa trên chủ đề tùy chỉnh)
Expand for desktop and mobile,Mở rộng cho màn hình máy tính và điện thoại
Expand for desktop only,Chỉ mở rộng cho màn hình máy tính
Meta-Description,Mô tả tổng hợp
Meta-Keywords,Từ khóa meta
Meta-Title,Tiêu đề
Sidebar,Sidebar
Store Currency,Store Currency
Custom label,Nhãn tùy chỉnh
Show products with ANY value,Hiển thị sản phẩm có giá trị ANY
Show products with ALL values only,Chỉ hiển thị các sản phẩm có giá trị ALL
Before,Trước
After,Sau
Current Category Level,Cấp độ hiện tại
Current Category Children,Danh mục con hiện tại
Disabled stock status,Trạng thái cổ phiếu bị vô hiệu hóa
Quantity threshold,Ngưỡng số lượng
By Click,Bởi Nhấn
Folding,Folding
Fly-out,Fly-out
Fly-out for Desktop Only,Fly-out Chỉ dành cho màn hình Máy tính
Instantly,Ngay lập tức
By Button Click,Bằng cách bấm vào nút
Visible Everywhere,Hiển thị ở mọi nơi
Only in Selected Categories,Chỉ trong các danh mục đã chọn
Hide in Selected Categories,Ẩn trong các danh mục đã chọn
Improved Layered Navigation,Điều hướng phân lớp được cải thiện
"Please remove ""%1"" folder manually.","Vui lòng xóa thư mục ""%1"" theo cách thủ công."
Please disable Amasty_ShopbyLite module manually.,Vui lòng vô hiệu hóa mô-đun Amasty_ShopbyLite bằng tay.
exceprion,ngoại lệ
"Are you sure you wan't to delete a ""${ $.$data.name }"" record?","Bạn có chắc chắn sẽ không xóa bản ghi ""$ {$. $ Data.name}"" không?"
Select options for this attribute group,Chọn options cho nhóm thuộc tính này
Select Option ...,Chọn option...
Show <span class='hide_count'> </span> More,Hiển thị <span class = 'hide_count'> </ span> Khác
Connection Successful!,Kết nối thành công!
This log message no longer exists.,Thông điệp này không còn tồn tại.
View Message,Xem tin nhắn
SSL,SSL
TLS,TLS
Starting to auto clear debug log (after %1 days),Bắt đầu tự động xóa nhật ký gỡ lỗi (sau %1 ngày)
Ready to send e-mail at amsmtp/transport::sendMessage(),Sẵn sàng gửi e-mail tại amsmtp/Transport::sendMessage()
E-mail sent successfully at amsmtp/transport::sendMessage().,E-mail được gửi thành công tại amsmtp/Transport::sendMessage().
Actual delivery disabled under settings.,Giao hàng thực tế bị vô hiệu hóa trong cài đặt.
Error sending e-mail: %1,Lỗi gửi e-mail: %1
Connection test successful: connected to %1,Kiểm tra kết nối thành công: được kết nối với %1
Preparing to send test e-mail to %1 from %2,Chuẩn bị gửi e-mail kiểm tra đến %1 từ %2
Amasty SMTP Email Test Message,Kiểm tra tin nhắn ngẫu nhiên e-mail SMTP
"If you see this e-mail, your configuration is OK.",Amasty SMTP Email Test Message
Test e-mail was sent successfully!,Kiểm tra e-mail đã được gửi thành công!
Test e-mail failed: %1,Kiểm tra e-mail không thành công: %1
Connection test failed: connection to %1 failed. Error: %2,Kiểm tra kết nối không thành công: kết nối đến %1 không thành công. Lỗi: %2
Connection failed,Kết nối thất bại
Sender Email' or 'Sender Name' is empty. Please ensure that all values in the 'General Contact' section are correctly set by visiting Stores > Configuration > General > Store Email Addresses.,Email người gửi' hoặc 'Tên người gửi' trống . Hãy đảm bảo rằng tất cả các giá trị trong 'Liên hệ chung' được đặt chính xác bằng cách truy cập Cửa hàng> Cấu hình> Chung> Địa chỉ Email Cửa hàng.
Debug info,Thông tin gỡ lỗi
Body,Body
Method object ' . . ' must be implemented by Amasty\Sorting\Api\MethodInterface,Đối tượng phương thức '. . 'phải được triển khai bởi Amasty\Sorting\Api\MethodInterface
$methodObject is not object,$methodObject không phải là đối tượng
Error while clear index amasty sorting method: ,Lỗi trong khi xóa phương thức sắp xếp index amasty :
"Yes for Catalog, No for Search","Có cho Danh mục, Không cho Tìm kiếm"
Minimal Price,Giá tối thiểu
Drag and drop sorting options in the order you want them to appear for the customers.,Kéo và thả các tùy chọn sắp xếp theo thứ tự bạn muốn chúng xuất hiện cho khách hàng.
Apply the rule to,Áp dụng quy tắc cho
Apply Rules Only With,Chỉ áp dụng quy tắc với
"Apply this rule with provided coupons only. Comma separated. Create coupon in <a href=""%1""><span>Promotions / Shopping Cart Rules</span></a> area first.","Áp dụng quy tắc này chỉ với các phiếu giảm giá được cung cấp. Dấu phẩy tách ra. Tạo phiếu giảm giá trong <a href=""%1""><span> Khuyến mãi / Quy tắc giỏ hàng </ span> </a> trước tiên."
Shopping Cart Rule (discount),Quy tắc giỏ hàng (giảm giá)
"Apply this rule with ANY specified discount rules. Create rule in<a target=""_blank"" href=""%1""><span>Promotions / Shopping Cart Price Rules</span></a> area first. Useful when you have MULTIPLE coupons in one rule","Áp dụng quy tắc này với bất kỳ quy tắc giảm giá nào. Tạo quy tắc trong <a target=""_blank"" href=""%1""><span>Promotions/Shopping Cart Price Rules</span></a> trước tiên. Hữu ích khi bạn có nhiều phiếu giảm giá trong một quy tắc"
Do NOT Apply Rules With,Không áp dụng quy tắc với
"Not apply this rule with provided coupons only. Comma separated. Create coupon in <a href=""%1""><span>Promotions / Shopping Cart Rules</span></a> area first.","Không áp dụng quy tắc này chỉ với các phiếu giảm giá đã được cung cấp. Dấu phẩy tách ra. Tạo phiếu mua hàng trong <a href=""%1""><span>Promotions / Shopping Cart Rules</span></a> trước tiên."
"Not apply this rule with ANY coupon from specified discount rules. Create rule in <a href=""%1""><span>Promotions / Shopping Cart Price Rules</span></a> area first. Useful when you have MULTIPLE coupons in one rule","Không áp dụng quy tắc này với BẤT Kỳ phiếu giảm giá từ các quy tắc giảm giá được chỉ định. Tạo quy tắc trong<a href=""%1""><span>Promotions / Shopping Cart Price Rules</span></a> trước tiên.Hữu ích khi bạn có nhiều phiếu giảm giá trong một quy tắc"
Days and Time,Ngày và thời gian
Leave empty or select all to apply the rule every day,Để trống hoặc chọn tất cả để áp dụng quy tắc mỗi ngày
Time From:,Thời gian từ:
Time To:,Thời gian đến:
Apply In,Áp dụng trong
Admin Area,Khu vực quản trị
Leave empty or select all to apply the rule to any store,Để trống hoặc chọn tất cả để áp dụng quy tắc cho bất kỳ cửa hàng
Leave empty or select all to apply the rule to any group,Để trống hoặc chọn tất cả để áp dụng quy tắc cho bất kỳ nhóm nào
We can't delete item right now. Please review log and try again.,Không thể xóa mục ngay bây giờ. Hãy xem lại nhật ký và thử lại.
We can't find an item to delete.,Không tồn tại item để xóa.
Something went wrong while saving the item data. Please review log and try again.,Phát sinh vấn đề khi lưu dữ liệu. Hãy xem lại nhật ký và thử lại.
Can't delete records(s) right now. Please review log and try again.,Không thể xóa (các) bản ghi ngay bây giờ. Hãy xem lại nhật ký và thử lại.
Can't update some items. Please review log and try again.,Không thể cập nhật một số mặt hàng. Hãy xem lại nhật ký và thử lại.
Something went wrong while saving the rule data. Please review log and try again.,Phát sinh vấn đề khi lưu rule data. Hãy xem lại nhật ký và thử lại.
All orders,Tất cả các đơn đặt hàng
Backorders only,Chỉ đơn hàng tồn động
Non backorders,Không có đơn hàng bị trả lại
Surcharge,Surcharge
Partial Replace,Thay thế một phần
Please select...,Xin hãy lựa chọn...
starts from,bắt đầu từ
ends with,kết thúc bằng
Purchases history,Lịch sử mua hàng
total amount excl. tax,tổng số tiền Thuế
total amount incl. tax,tổng số tiền bao gồm Thuế
Please choose condition,Vui lòng chọn điều kiện
Period after order was placed,Khoảng thời gian sau khi đặt hàng
Conditions (don't add conditions if need show all products),Điều kiện (không thêm điều kiện nếu cần hiển thị tất cả các sản phẩm)
"Important. Leave ""Position"" to apply the Sort Order configured for the Landing Page in the Page Products tab","Quan trọng. Để lại ""Vị trí"" để áp dụng cấu hình thứ tự sắp xếp cho trang Landing Page trong Trang Products tab"
Linked Dynamic Category,Danh mục động được liên kết
Dynamic Category Edit Page Link,Danh mục động Chỉnh sửa liên kết trang
Edit Landing Page: %1,Chỉnh sửa Landing Page: %1
We can't find a page to duplicate.,Không tồn tại một trang để tạo bản sao.
Edit Landing Page,Chỉnh sửa Trang đích
Manage Landing Pages,Quản lý trang đích
Display mode is set to Enabled.,Chế độ hiển thị đã được kích hoát.
Landing Pages has not been imported completely. See the following list of errors:<br /> %1,Trang đích chưa được nhập hoàn toàn. Xem danh sách các lỗi sau: <br /> %1
